Movie,Directors,Ranking,year,region,length,genre
The Green Ray,Eric Rohmer,337,1986, France ,96m, Romantic Drama
Russian Ark,Aleksandr Sokurov,338,2002, Russia-Germany-Japan-Canada-Finland-Denmark ,96m, Avant-garde-Experimental
Lost Highway,David Lynch,339,1997, USA-France ,134m, Mystery
October,Sergei Eisenstein & Grigori Aleksandrov,340,1928, USSR ,103m, Historical Film
A Touch of Zen,King Hu,341,1971, Taiwan ,200m, Martial Arts
"I Was Born, Butâ¦",Yasujiro Ozu,342,1932, Japan ,100m, Comedy Drama
Happy Together,Wong Kar-wai,343,1997, Hong Kong ,97m, Romance
Werckmeister Harmonies,Béla Tarr,344,2000, Hungary-Germany-France-Switzerland-Italy ,145m, Horror
Heat,Michael Mann,345,1995, USA ,174m, Crime
Eyes Without a Face,Georges Franju,346,1960, France-Italy ,88m, Horror
I Am Cuba,Mikhail Kalatozov,347,1964, USSR-Cuba ,141m, Drama
Through the Olive Trees,Abbas Kiarostami,348,1994, Iran-France ,103m, Drama
ClÃ©o from 5 to 7,Agnès Varda,349,1962, France ,90m, Drama
Stromboli,Roberto Rossellini,350,1950, Italy ,107m, Melodrama
The King of Comedy,Martin Scorsese,351,1983, USA ,109m, Showbiz Comedy
The Palm Beach Story,Preston Sturges,352,1942, USA ,90m, Screwball Comedy
Last Tango in Paris,Bernardo Bertolucci,353,1972, France-Italy ,136m, Psychological Drama
Landscape in the Mist,Theo Angelopoulos,354,1988, Greece-France-Italy ,125m, Road Movie
In a Year with 13 Moons,Rainer Werner Fassbinder,355,1978, West Germany ,129m, Drama
High Noon,Fred Zinnemann,356,1952, USA ,84m, Western
Shoot the Piano Player,François Truffaut,357,1960, France ,92m, Crime Drama
All That Heaven Allows,Douglas Sirk,358,1955, USA ,89m, Melodrama
Woman in the Dunes,Hiroshi Teshigahara,359,1964, Japan ,127m, Avant-garde-Experimental
Tie Xi Qu: West of the Tracks,Wang Bing,360,2003, China ,551m, Culture & Society
Le Voyage dans la lune,Georges Méliès,361,1902, France ,14m, Science Fiction
Quince Tree of the Sun,Victor Erice,362,1992, Spain ,133m, Drama
Teorema,Pier Paolo Pasolini,363,1968, Italy ,98m, Drama
Wanda,Barbara Loden,364,1970, USA ,105m, Drama
Nostalghia,Andrei Tarkovsky,365,1983, Italy ,120m, Drama
The Tenant,Roman Polanski,366,1976, France-USA ,125m, Thriller
The Silence of the Lambs,Jonathan Demme,367,1991, USA ,118m, Thriller
Stranger Than Paradise,Jim Jarmusch,368,1984, USA ,90m, Comedy
Butch Cassidy and the Sundance Kid,George Roy Hill,369,1969, USA ,112m, Western
Ivan's Childhood,Andrei Tarkovsky,370,1962, USSR ,94m, War
Tristana,Luis Buñuel,371,1970, Spain-Italy-France ,98m, Psychological Drama
Aliens,James Cameron,372,1986, USA ,137m, Horror
Days of Being Wild,Wong Kar-wai,373,1990, Hong Kong ,94m, Drama
Don't Look Back,D.A. Pennebaker,374,1967, USA ,96m, Music
Network,Sidney Lumet,375,1976, USA ,121m, Comedy Drama
An Affair to Remember,Leo McCarey,376,1957, USA ,115m, Romance
The Double Life of Veronique,Krzysztof Kieslowski,377,1991, France ,97m, Romantic Drama
Festen,Thomas Vinterberg,378,1998, Denmark ,105m, Ensemble Film
The Bridge on the River Kwai,David Lean,379,1957, UK ,161m, War
If....,Lindsay Anderson,380,1968, UK ,111m, Drama
Dogville,Lars von Trier,381,2003, Denmark-Sweden-France-UK-Germany-Finland-Italy-Netherlands-Norway ,177m, Drama
Salvatore Giuliano,Francesco Rosi,382,1962, Italy ,125m, Crime
High and Low,Akira Kurosawa,383,1963, Japan ,142m, Drama
Brokeback Mountain,Ang Lee,384,2005, USA-Canada ,134m, Romantic Drama
Fitzcarraldo,Werner Herzog,385,1982, West Germany ,157m, Adventure Drama
Man of Aran,Robert Flaherty,386,1934, UK ,77m, Anthropology
The Shawshank Redemption,Frank Darabont,387,1994, USA ,142m, Drama
The Hustler,Robert Rossen,388,1961, USA ,135m, Drama
Army of Shadows,Jean-Pierre Melville,389,1969, France-Italy ,140m, Resistance Film
The Innocents,Jack Clayton,390,1961, UK ,100m, Horror
The Young Girls of Rochefort,Jacques Demy,391,1967, France ,124m, Romance
1900,Bernardo Bertolucci,392,1976, Italy-France-West Germany ,245m, Political Drama
Yojimbo,Akira Kurosawa,393,1961, Japan ,110m, Adventure
Suspiria,Dario Argento,394,1977, Italy ,92m, Horror
Heaven's Gate,Michael Cimino,395,1980, USA ,219m, Epic Western
Fight Club,David Fincher,396,1999, USA-Germany ,139m, Satire
The Cloud-Capped Star	,Ritwik Ghatak,397,1960, India ,126m, Family Drama
Carrie,Brian De Palma,398,1976, USA ,97m, Horror
WALL-E,Andrew Stanton,399,2008, USA ,98m, Sci-Fi Adventure
Daisies,Vera Chytilová,400,1966, Czechoslovakia ,76m, Avant-garde-Experimental
I Know Where I'm Going!,Michael Powell & Emeric Pressburger,401,1945, UK ,91m, Drama
Shadows,John Cassavetes,402,1959, USA ,87m, Drama
Raise the Red Lantern,Zhang Yimou,403,1991, Hong Kong ,125m, Period Film
Monty Python's Life of Brian,Terry Jones,404,1979, UK ,93m, Parody
A Star is Born,George Cukor,405,1954, USA ,154m, Musical
"Out 1, noli me tangere",Jacques Rivette,406,1971, France ,729m, Drama
Chelsea Girls,Andy Warhol,407,1966, USA ,210m, Avant-garde-Experimental
The Awful Truth,Leo McCarey,408,1937, USA ,92m, Romantic Comedy
Scenes from a Marriage,Ingmar Bergman,409,1973, Sweden ,168m, Drama
French Cancan,Jean Renoir,410,1955, France ,93m, Comedy Drama
Day for Night,François Truffaut,411,1973, France ,120m, Comedy Drama
Charulata,Satyajit Ray,412,1964, India ,117m, Drama
The Dead,John Huston,413,1987, USA ,83m, Drama
Dead Ringers,David Cronenberg,414,1988, Canada ,115m, Drama
A Moment of Innocence,Mohsen Makhmalbaf,415,1996, Iran-France ,78m, Comedy Drama
Early Summer,Yasujiro Ozu,416,1951, Japan ,135m, Drama
The White Ribbon,Michael Haneke,417,2009, Germany-Austria-France-Italy ,144m, Drama
Hour of the Wolf,Ingmar Bergman,418,1968, Sweden ,88m, Gothic Film
Barren Lives,Nelson Pereira dos Santos,419,1963, Brazil ,103m, Drama
The Cameraman,Buster Keaton & Edward Sedgwick,420,1928, USA ,69m, Slapstick
Mon oncle,Jacques Tati,421,1958, France ,126m, Satire
Taste of Cherry,Abbas Kiarostami,422,1997, Iran ,99m, Drama
The House is Black,Forugh Farrokhzad,423,1963, Iran ,20m, Illnesses & Disabilities
Five Easy Pieces,Bob Rafelson,424,1970, USA ,98m, Drama
The Long Goodbye,Robert Altman,425,1973, USA ,112m, Mystery
Two-Lane Blacktop,Monte Hellman,426,1971, USA ,101m, Drama
Land Without Bread,Luis Buñuel,427,1932, Spain ,28m, Culture & Society
Ã nos amours,Maurice Pialat,428,1983, France ,102m, Drama
Opening Night,John Cassavetes,429,1977, USA ,144m, Ensemble Film
Talk to Her,Pedro Almodóvar,430,2002, Spain ,112m, Melodrama
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,431,2010, Thailand-UK-France-Germany-Spain-Netherlands ,113m, Avant-garde-Experimental
Le Plaisir,Max Ophüls,432,1952, France ,97m, Romance
The Tree of Wooden Clogs,Ermanno Olmi,433,1978, Italy ,185m, Rural Drama
The Hour of the Furnaces,Fernando E. Solanas & Octavio Getino,434,1968, Argentina ,260m, Politics & Government
The Gleaners & I,Agnès Varda,435,2000, France ,82m, Culture & Society
The Elephant Man,David Lynch,436,1980, USA ,125m, Biography
The Sound of Music,Robert Wise,437,1965, USA ,174m, Musical
Masculin Feminin,Jean-Luc Godard,438,1966, France-Sweden ,103m, Urban Drama
Closely Watched Trains,Jirí Menzel,439,1966, Czechoslovakia ,89m, War
Pyaasa,Guru Dutt,440,1957, India ,146m, Drama
Yellow Earth,Chen Kaige,441,1984, China ,89m, Family Drama
Punch-Drunk Love,Paul Thomas Anderson,442,2002, USA ,95m, Comedy Drama
Withnail & I,Bruce Robinson,443,1987, UK ,107m, Comedy
To Have and Have Not,Howard Hawks,444,1944, USA ,100m, Drama
Dersu Uzala,Akira Kurosawa,445,1975, USSR-Japan ,144m, Drama
Koyaanisqatsi,Godfrey Reggio,446,1982, USA ,87m, Essay Film
The Turin Horse,Béla Tarr,447,2011, Hungary-France-Germany-Switzerland-USA ,146m, Drama
Kagemusha,Akira Kurosawa,448,1980, Japan ,159m, Historical Epic
The Lady from Shanghai,Orson Welles,449,1948, USA ,87m, Film Noir
"Crouching Tiger, Hidden Dragon",Ang Lee,450,2000, Taiwan-Hong Kong-USA-China ,120m, Martial Arts
The Sorrow and the Pity,Marcel Ophüls,451,1969, France-Switzerland-Germany ,260m, Military & War
The Death of Mr. Lazarescu,Cristi Puiu,452,2005, Romania ,154m, Drama
A Night at the Opera,Sam Wood,453,1935, USA ,92m, Anarchic Comedy
Platform,Jia Zhangke,454,2000, China-Hong Kong-Japan-France ,154m, Comedy Drama
The Terminator,James Cameron,455,1984, USA ,108m, Science Fiction
Toy Story,John Lasseter,456,1995, USA ,80m, Fantasy Comedy
Halloween,John Carpenter,457,1978, USA ,93m, Horror
Some Came Running,Vincente Minnelli,458,1958, USA ,136m, Drama
Senso,Luchino Visconti,459,1954, Italy ,115m, Melodrama
The Wind,Victor Sjöström,460,1928, USA ,88m, Drama
Muriel,Alain Resnais,461,1963, France-Italy ,115m, Drama
Strangers on a Train,Alfred Hitchcock,462,1951, USA ,101m, Psychological Thriller
Easy Rider,Dennis Hopper,463,1969, USA ,94m, Road Movie
Marketa LazarovÃ¡,Frantisek Vlácil,464,1967, Czechoslovakia ,162m, Epic
Mad Max 2,George Miller,465,1981, Australia ,94m, Action
Elephant,Gus Van Sant,466,2003, USA ,81m, Drama
Boogie Nights,Paul Thomas Anderson,467,1997, USA ,155m, Comedy Drama
Shane,George Stevens,468,1953, USA ,118m, Western
The Scarlet Empress,Josef von Sternberg,469,1934, USA ,110m, Historical Film
The Wind Will Carry Us,Abbas Kiarostami,470,1999, France-Iran ,118m, Drama
Fantasia,Various Directors,471,1940, USA ,120m, Animated Musical
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde & Muffie Meyer",472,1975, USA ,95m, Culture & Society
Alexander Nevsky,Sergei Eisenstein,473,1938, USSR ,107m, Historical Epic
Oldboy,Park Chan-wook,474,2003, South Korea ,120m, Thriller
12 Angry Men,Sidney Lumet,475,1957, USA ,95m, Drama
The Cranes Are Flying,Mikhail Kalatozov,476,1957, USSR ,94m, Melodrama
Shadow of a Doubt,Alfred Hitchcock,477,1943, USA ,108m, Thriller
Safe,Todd Haynes,478,1995, USA ,119m, Medical Drama
Short Cuts,Robert Altman,479,1993, USA ,189m, Ensemble Film
Gimme Shelter,"Albert Maysles, David Maysles & Charlotte Zwerin",480,1970, USA ,91m, Music
Tootsie,Sydney Pollack,481,1982, USA ,116m, Showbiz Comedy
All That Jazz,Bob Fosse,482,1979, USA ,123m, Musical
La RÃ©gion centrale,Michael Snow,483,1971, Canada ,180m, Avant-garde-Experimental
Top Hat,Mark Sandrich,484,1935, USA ,99m, Musical Romance
Naked,Mike Leigh,485,1993, UK ,126m, Urban Drama
Les Vampires,Louis Feuillade,486,1915, France ,440m, Master Criminal Film
Limelight,Charles Chaplin,487,1952, USA ,145m, Comedy Drama
The Flowers of St. Francis,Roberto Rossellini,488,1950, Italy ,83m, Religious Drama
Repulsion,Roman Polanski,489,1965, UK ,105m, Thriller
Accattone,Pier Paolo Pasolini,490,1961, Italy ,120m, Urban Drama
India Song,Marguerite Duras,491,1975, France ,120m, Avant-garde-Experimental
Winter Light,Ingmar Bergman,492,1962, Sweden ,80m, Psychological Drama
The Lives of Others,Florian Henckel von Donnersmarck,493,2006, Germany ,138m, Political Thriller
All the President's Men,Alan J. Pakula,494,1976, USA ,138m, Political Drama
Pinocchio,Ben Sharpsteen & Hamilton Luske,495,1940, USA ,88m, Children's Fantasy
Chronicle of a Summer,Jean Rouch & Edgar Morin,496,1961, France ,85m, Culture & Society
Lost in Translation,Sofia Coppola,497,2003, USA-Japan ,102m, Comedy
The Enigma of Kaspar Hauser,Werner Herzog,498,1974, West Germany ,110m, Psychological Drama
Triumph of the Will,Leni Riefenstahl,499,1935, Germany ,110m, Propaganda Film
Melancholia,Lars von Trier,500,2011, Denmark-Sweden-France-Germany ,136m, Science Fiction
Dead Man,Jim Jarmusch,501,1995, USA-Germany ,121m, Hybrid Western
Lola,Jacques Demy,502,1961, France ,90m, Drama
"Steamboat Bill, Jr.",Buster Keaton & Charles Reisner,503,1928, USA ,71m, Adventure Comedy
The Phantom of Liberty,Luis Buñuel,504,1974, France ,104m, Satire
Wagon Master,John Ford,505,1950, USA ,86m, Western
Casino,Martin Scorsese,506,1995, USA ,182m, Gangster Film
Shadows of Our Forgotten Ancestors,Sergei Parajanov,507,1964, USSR ,97m, Drama
Flowers of Shanghai,Hou Hsiao-hsien,508,1998, Taiwan ,130m, Romantic Drama
Hoop Dreams,Steve James,509,1994, USA ,170m, Sports
Miracle in Milan,Vittorio De Sica,510,1951, Italy ,95m, Fantasy Comedy
Point Blank,John Boorman,511,1967, USA ,92m, Crime
Frankenstein,James Whale,512,1931, USA ,70m, Horror
The Big Heat,Fritz Lang,513,1953, USA ,90m, Crime
Forrest Gump,Robert Zemeckis,514,1994, USA ,142m, Comedy Drama
Pat Garrett and Billy the Kid,Sam Peckinpah,515,1973, USA ,122m, Revisionist Western
The Bitter Tears of Petra von Kant,Rainer Werner Fassbinder,516,1972, West Germany ,124m, Drama
Barton Fink,Joel Coen & Ethan Coen,517,1991, USA ,117m, Comedy Drama
Tale of Tales,Yuriy Norshteyn,518,1979, USSR ,29m, Avant-garde-Experimental
Hannah and Her Sisters,Woody Allen,519,1986, USA ,106m, Comedy Drama
The Silence,Ingmar Bergman,520,1963, Sweden ,96m, Psychological Drama
The Rise to Power of Louis XIV,Roberto Rossellini,521,1966, France ,100m, Historical Film
A.I. Artificial Intelligence,Steven Spielberg,522,2001, USA ,145m, Science Fiction
Alphaville,Jean-Luc Godard,523,1965, France ,95m, Psychological Sci-Fi
The Damned,Luchino Visconti,524,1969, Italy-West Germany ,155m, Political Drama
The Wedding March,Erich von Stroheim,525,1928, USA ,113m, Drama
In Vanda's Room,Pedro Costa,526,2000, Portugal-Germany-Switzerland-Italy ,170m, DramaLena Duarte
The Devils,Ken Russell,527,1971, UK ,109m, Historical Film
East of Eden,Elia Kazan,528,1955, USA ,115m, Family Drama
Rebel Without a Cause,Nicholas Ray,529,1955, USA ,111m, Teen Movie
Doctor Zhivago,David Lean,530,1965, USA ,197m, Romantic Epic
Bigger Than Life,Nicholas Ray,531,1956, USA ,95m, Psychological Drama
The Servant,Joseph Losey,532,1963, UK ,115m, Drama
A Separation,Asghar Farhadi,533,2011, Iran ,123m, Drama
La Terra trema,Luchino Visconti,534,1948, Italy ,160m, Drama
PlÃ¡cido,Luis García Berlanga,535,1961, Spain ,85m, ComedyCassen
"Farewell, My Concubine",Chen Kaige,536,1993, Hong Kong-China ,155m, Drama
Down by Law,Jim Jarmusch,537,1986, USA ,107m, Comedy
Inland Empire,David Lynch,538,2006, USA-France-Poland ,180m, Avant-garde-Experimental
Being There,Hal Ashby,539,1979, USA ,130m, Comedy
Providence,Alain Resnais,540,1977, France-Switzerland ,110m, Drama
Loves of a Blonde,Milos Forman,541,1965, Czechoslovakia ,88m, Comedy Drama
Colossal Youth,Pedro Costa,542,2006, Portugal-France-Switzerland ,155m, Drama
AmÃ©lie,Jean-Pierre Jeunet,543,2001, France-Germany ,122m, Romance
Laura,Otto Preminger,544,1944, USA ,85m, Mystery
That Obscure Object of Desire,Luis Buñuel,545,1977, France-Spain ,103m, Black Comedy
Picnic at Hanging Rock,Peter Weir,546,1975, Australia ,110m, Mystery
Our Hospitality,Buster Keaton & John G. Blystone,547,1923, USA ,74m, Comedy
Cat People,Jacques Tourneur,548,1942, USA ,73m, Horror
Ninotchka,Ernst Lubitsch,549,1939, USA ,110m, Romantic Comedy
Pan's Labyrinth,Guillermo del Toro,550,2006, Spain-Mexico-USA ,120m, Fantasy
No Country for Old Men,Joel Coen & Ethan Coen,551,2007, USA ,122m, Thriller
Bring Me the Head of Alfredo Garcia,Sam Peckinpah,552,1974, USA ,112m, Black Comedy
My Own Private Idaho,Gus Van Sant,553,1991, USA ,102m, Drama
Splendor in the Grass,Elia Kazan,554,1961, USA ,124m, Coming-of-Age
Trainspotting,Danny Boyle,555,1996, UK ,95m, Comedy Drama
"The Devil, Probably",Robert Bresson,556,1977, France ,95m, Drama
Grizzly Man,Werner Herzog,557,2005, USA ,103m, Nature
Boudu Saved from Drowning,Jean Renoir,558,1932, France ,87m, Comedy
Deliverance,John Boorman,559,1972, USA ,109m, Drama
The Asphalt Jungle,John Huston,560,1950, USA ,112m, Crime Thriller
I Vitelloni,Federico Fellini,561,1953, Italy ,104m, Drama
Faust,F.W. Murnau,562,1926, Germany ,116m, Fantasy
Aparajito,Satyajit Ray,563,1956, India ,108m, Drama
Songs from the Second Floor,Roy Andersson,564,2000, Sweden-France-Denmark-Norway-Germany ,98m, Surrealist Film
Die Hard,John McTiernan,565,1988, USA ,131m, Action
Scorpio Rising,Kenneth Anger,566,1964, USA ,29m, Avant-garde-Experimental
Ben-Hur,William Wyler,567,1959, USA ,212m, Religious Epic
Secrets & Lies,Mike Leigh,568,1996, UK ,142m, Drama
Limite,Mario Peixoto,569,1931, Brazil ,114m, Avant-garde
The French Connection,William Friedkin,570,1971, USA ,104m, Crime
Hana-bi,Takeshi Kitano,571,1997, Japan ,103m, Crime Drama
Salesman,"Albert Maysles, David Maysles & Charlotte Zwerin",572,1969, USA ,85m, Culture & Society
A Hard Day's Night,Richard Lester,573,1964, UK ,85m, Rock Musical
The Royal Tenenbaums,Wes Anderson,574,2001, USA ,109m, Comedy Drama
Rocky,John G. Avildsen,575,1976, USA ,119m, Drama
Alice in the Cities,Wim Wenders,576,1974, West Germany ,110m, Drama
Hatari!,Howard Hawks,577,1962, USA ,159m, Adventure
NazarÃ­n,Luis Buñuel,578,1958, Mexico ,94m, Religious Drama
Rushmore,Wes Anderson,579,1998, USA ,93m, Comedy Drama
Fellini Satyricon,Federico Fellini,580,1969, Italy ,129m, Drama
Detour,Edgar G. Ulmer,581,1945, USA ,69m, Film Noir
Love Me Tonight,Rouben Mamoulian,582,1932, USA ,96m, Comedy
And Life Goes Onâ¦,Abbas Kiarostami,583,1992, Iran ,108m, Drama
Rosetta,Jean-Pierre Dardenne & Luc Dardenne,584,1999, Belgium-France ,94m, Drama
The Lady Vanishes,Alfred Hitchcock,585,1938, UK ,97m, Spy Film
Full Metal Jacket,Stanley Kubrick,586,1987, USA ,116m, Anti-War Film
I Walked with a Zombie,Jacques Tourneur,587,1943, USA ,69m, Horror
The Blue Angel,Josef von Sternberg,588,1930, Germany ,103m, Melodrama
The Red Circle,Jean-Pierre Melville,589,1970, France-Italy ,140m, Crime Thriller
Walkabout,Nicolas Roeg,590,1971, Australia ,95m, Adventure
"Dr. Mabuse, The Gambler",Fritz Lang,591,1922, Germany ,270m, Master Criminal Film
Scarface,Brian De Palma,592,1983, USA ,170m, Crime Thriller
The Manchurian Candidate,John Frankenheimer,593,1962, USA ,126m, Political Thriller
Silent Light,Carlos Reygadas,594,2007, Mexico-France-Netherlands ,136m, Psychological Drama
Arrebato,Iván Zulueta,595,1979, Spain ,105m, Drama
Memento,Christopher Nolan,596,2000, USA ,113m, Mystery
Rebecca,Alfred Hitchcock,597,1940, USA ,130m, Mystery
The Killing,Stanley Kubrick,598,1956, USA ,85m, Crime Thriller
Blissfully Yours,Apichatpong Weerasethakul,599,2002, Thailand-France ,125m, Avant-garde-Experimental
Bande Ã  part,Jean-Luc Godard,600,1964, France ,97m, Drama
Twenty Years Later,Eduardo Coutinho,601,1984, Brazil ,119m, DocumentaryEduardo Coutinho
Evil Dead II,Sam Raimi,602,1987, USA ,85m, Horror
Dancer in the Dark,Lars von Trier,603,2000, Denmark-France-Sweden-Italy-Germany-Norway-Netherlands-Iceland-Finland-UK-USA ,140m, Musical Drama
Les Amants du Pont-Neuf,Leos Carax,604,1991, France ,126m, Romantic Drama
Great Expectations,David Lean,605,1946, UK ,118m, Drama
The 39 Steps,Alfred Hitchcock,606,1935, UK ,87m, Thriller
Seven Chances,Buster Keaton,607,1925, USA ,56m, Comedy of Errors
Local Hero,Bill Forsyth,608,1983, UK ,111m, Comedy
Young Frankenstein,Mel Brooks,609,1974, USA ,105m, Parody
The Purple Rose of Cairo,Woody Allen,610,1985, USA ,82m, Comedy
"Goodbye, Dragon Inn",Tsai Ming-liang,611,2003, Taiwan ,82m, Comedy Drama
La Belle noiseuse,Jacques Rivette,612,1991, France ,240m, Drama
The African Queen,John Huston,613,1951, USA ,105m, Romance
Foolish Wives,Erich von Stroheim,614,1922, USA ,117m, DramaErich von Stroheim
They Live by Night,Nicholas Ray,615,1948, USA ,95m, Crime Drama
Raising Arizona,Joel Coen & Ethan Coen,616,1987, USA ,92m, Crime Comedy
By the Bluest of Seas,Boris Barnet,617,1936, USSR ,71m, Comedy
Requiem for a Dream,Darren Aronofsky,618,2000, USA ,100m, Addiction Drama
The Fly,David Cronenberg,619,1986, USA ,100m, Science Fiction
La Haine,Mathieu Kassovitz,620,1995, France ,93m, Urban Drama
Se7en,David Fincher,621,1995, USA ,127m, Police Detective Film
The Age of Innocence,Martin Scorsese,622,1993, USA ,133m, Period Film
Titicut Follies,Frederick Wiseman,623,1967, USA ,87m, Social Issues
Strike,Sergei Eisenstein,624,1925, USSR ,73m, Political Drama
The Marriage of Maria Braun,Rainer Werner Fassbinder,625,1979, West Germany ,120m, War Drama
Scarface,Howard Hawks,626,1932, USA ,90m, Gangster Film
Children of Men,Alfonso Cuarón,627,2006, USA-UK ,109m, Psychological Sci-Fi
Fat City,John Huston,628,1972, USA ,100m, Drama
Zodiac,David Fincher,629,2007, USA ,158m, Mystery
The Party,Blake Edwards,630,1968, USA ,99m, Comedy
Breakfast at Tiffany's,Blake Edwards,631,1961, USA ,115m, Comedy Drama
A Place in the Sun,George Stevens,632,1951, USA ,122m, Romantic Drama
Before Sunset,Richard Linklater,633,2004, USA ,80m, Romance
Lancelot du Lac,Robert Bresson,634,1974, France-Italy ,84m, Drama
Antonio das Mortes,Glauber Rocha,635,1969, Brazil ,95m, Adventure Drama
Monty Python and the Holy Grail,Terry Gilliam,636,1975, UK ,90m, Anarchic Comedy
Terminator 2: Judgment Day,James Cameron,637,1991, USA ,136m, Science Fiction
Nouvelle vague,Jean-Luc Godard,638,1990, France-Switzerland ,88m, Avant-garde-Experimental
Funny Games,Michael Haneke,639,1997, Austria ,108m, Crime Thriller
The Round-Up,Miklós Jancsó,640,1966, Hungary ,94m, Political Drama
Mother and Son,Aleksandr Sokurov,641,1997, Russia-Germany ,73m, Family Drama
Young Mr. Lincoln,John Ford,642,1939, USA ,100m, Historical Film
The Tiger of Eschnapur,Fritz Lang,643,1958, West Germany-France-Italy ,101m, Adventure Drama
The Man Who Would Be King,John Huston,644,1975, USA ,129m, Adventure
Yeelen,Souleymane Cissé,645,1987, Mali-Burkina Faso-France-West Germany-Japan ,105m, Coming-of-Age
White Heat,Raoul Walsh,646,1949, USA ,114m, Crime
Dazed and Confused,Richard Linklater,647,1993, USA ,94m, Comedy Drama
Edward Scissorhands,Tim Burton,648,1990, USA ,100m, Fantasy Comedy
Xala,Ousmane Sembene,649,1975, Senegal ,123m, Comedy
Orlando,Sally Potter,650,1992, UK-Russia-France-Italy-Netherlands ,94m, Drama
A Short Film About Killing,Krzysztof Kieslowski,651,1987, Poland ,85m, Drama
After Life,Hirokazu Koreeda,652,1998, Japan ,118m, Fantasy
Mr. Smith Goes to Washington,Frank Capra,653,1939, USA ,129m, Comedy Drama
JFK,Oliver Stone,654,1991, USA ,188m, Political Thriller
Nostalgia for the Light,Patricio Guzmán,655,2010, France-Germany-Chile-Spain-USA ,90m, Social History
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,656,2001, USA-New Zealand ,178m, Epic
Un Chant d'amour,Jean Genet,657,1950, France ,26m, Avant-garde-Experimental
Zelig,Woody Allen,658,1983, USA ,79m, Mockumentary
Y tu mamÃ¡ tambiÃ©n,Alfonso Cuarón,659,2001, Mexico ,105m, Coming-of-Age
Les Dames du Bois de Boulogne	,Robert Bresson,660,1945, France ,85m, Psychological Drama
Bambi,David Hand,661,1942, USA ,69m, Children's Fantasy
Gummo,Harmony Korine,662,1997, USA ,88m, Avant-garde-Experimental
"Synecdoche, New York",Charlie Kaufman,663,2008, USA ,124m, Psychological Drama
The Wild Child,François Truffaut,664,1970, France ,85m, Period Film
Passion,Jean-Luc Godard,665,1982, France-Switzerland ,87m, Psychological Drama
The Great Escape,John Sturges,666,1963, USA ,168m, Escape Film
The Dark Knight,Christopher Nolan,667,2008, USA-UK ,152m, Crime Drama
My Life as a Dog,Lasse Hallström,668,1985, Sweden ,101m, Coming-of-Age
El Sur,Victor Erice,669,1983, Spain-France ,95m, DramaOmero Antonutti
The Son,Jean-Pierre Dardenne & Luc Dardenne,670,2002, Belgium-France ,103m, Drama
Crash,David Cronenberg,671,1996, Canada ,100m, Erotic Drama
